Region;Documents;Citable documents;Citations;Self-Citations;Citations per Document;H index
Asia;9;9;56;1;6.22;17
Oceania;9;9;114;4;12.67;22
America;8;8;216;10;27.00;29
Africa;7;7;76;4;10.86;29
Oceania;6;6;25;0;4.17;19
Africa;6;5;53;1;8.83;33
Asia;5;5;6;0;1.20;24
America;4;4;16;3;4.00;10
America;4;4;163;0;40.75;16
America;4;4;114;0;28.50;18
Africa;4;4;78;5;19.50;16
America;4;4;226;0;56.50;26
Oceania;4;4;54;4;13.50;24
Europa;3;2;17;2;5.67;18
Africa;3;3;62;0;20.67;26
America;3;3;37;1;12.33;18
America;3;3;121;1;40.33;27
Oceania;3;3;62;1;20.67;23
Africa;3;3;75;10;25.00;15
Oceania;3;3;46;8;15.33;17
America;2;2;46;1;23.00;10
Africa;2;2;8;1;4.00;15
Africa;2;2;24;5;12.00;17
America;2;2;1;0;0.50;14
Oceania;2;2;48;3;24.00;27
America;2;2;85;0;42.50;10
Oceania;1;1;13;0;13.00;4
Oceania;1;1;116;0;116.00;3
Oceania;1;1;66;0;66.00;10
Africa;1;1;5;1;5.00;11
Africa;1;1;0;0;0.00;13
Europa;1;1;70;0;70.00;16
Asia;1;1;24;0;24.00;13
Oceania;1;1;1;0;1.00;5
Europa;1;1;21;0;21.00;19
Africa;1;1;15;1;15.00;13
America;1;1;0;0;0.00;1
America;1;1;13;0;13.00;11
Oceania;1;1;16;0;16.00;7
America;380984;359654;11389625;5358021;29.90;1518
Asia;100585;98311;1819661;505088;18.09;694
Europa;100076;91496;2755663;625196;27.54;934
Europa;95122;91277;2243206;555340;23.58;815
Asia;71646;70939;818298;419289;11.42;436
Europa;67394;64744;1545617;335537;22.93;742
America;50480;47712;1364471;251050;27.03;725
Europa;50392;47946;1114064;247540;22.11;654
Europa;36496;34404;749355;177877;20.53;531
Europa;33463;33186;273952;78573;8.19;355
Oceania;32166;30149;796927;164373;24.78;583
Asia;31323;29819;395638;132479;12.63;341
Europa;27829;26472;901584;137793;32.40;636
Asia;25895;25500;431582;88095;16.67;375
Europa;20329;19548;623864;88375;30.69;567
Europa;20291;19262;652707;83265;32.17;629
America;19067;18638;289877;93904;15.20;342
Europa;18124;17870;219579;54714;12.12;336
Asia;17047;16615;284059;61874;16.66;300
Europa;15563;14915;427146;56796;27.45;502
Asia;14750;14067;189175;47626;12.83;237
Asia;12983;12420;334681;45576;25.78;456
Europa;11225;10678;271696;35151;24.20;416
Europa;10594;10212;347433;48205;32.80;476
Europa;10183;9885;279476;41088;27.45;407
Asia;9093;8661;216672;29539;23.83;325
Europa;8465;8125;158630;25948;18.74;295
America;8421;8217;118842;26210;14.11;261
Europa;7943;7805;107362;24316;13.52;268
Europa;7298;6999;199005;28523;27.27;362
Asia;7084;6815;150491;18352;21.24;308
Oceania;6399;5986;148587;20769;23.22;318
Europa;6028;5976;41142;10738;6.83;159
America;5973;5804;102609;21475;17.18;249
Europa;5956;5820;114345;21516;19.20;269
Europa;5907;5777;114588;16309;19.40;277
Africa;5678;5346;92421;20046;16.28;260
Europa;4417;4118;107939;10874;24.44;299
Asia;4174;4088;54852;20172;13.14;158
Asia;3944;3894;46202;9085;11.71;148
America;3141;3047;66433;11887;21.15;214
Asia;3092;3008;56224;8256;18.18;190
Europa;2964;2928;30470;6666;10.28;153
Europa;2819;2764;30665;6078;10.88;165
Europa;2801;2741;26051;5583;9.30;161
Europa;2691;2642;40128;6619;14.91;172
Europa;2289;2257;24909;4102;10.88;154
Asia;2234;2136;23819;2901;10.66;144
Asia;1898;1838;24623;4649;12.97;145
Asia;1636;1523;17075;4092;10.44;130
America;1565;1526;22679;2478;14.49;141
Europa;1473;1468;9834;2056;6.68;114
Africa;1361;1319;15708;3108;11.54;103
Africa;1309;1271;13696;2284;10.46;109
Africa;1291;1257;11765;2704;9.11;97
America;1044;1027;10685;2250;10.23;106
America;1039;1010;16674;2443;16.05;151
Europa;867;853;11010;2085;12.70;122
Asia;826;822;9477;1122;11.47;92
Africa;825;817;6920;1504;8.39;89
Africa;822;792;18230;3169;22.18;149
Asia;789;766;8971;929;11.37;100
Europa;776;765;14615;2771;18.83;148
Asia;723;700;10556;1846;14.60;112
Asia;714;688;10832;1083;15.17;126
Asia;680;662;7809;986;11.48;92
Asia;646;620;11207;1049;17.35;131
Asia;630;582;8294;845;13.17;109
Asia;602;577;11296;1177;18.76;122
America;571;558;10540;795;18.46;141
Europa;479;466;17901;1480;37.37;181
Europa;476;466;5954;1242;12.51;116
America;455;444;8778;1251;19.29;114
America;406;392;10000;1096;24.63;126
Asia;402;394;4383;462;10.90;74
Asia;386;366;7743;674;20.06;96
Europa;385;382;4857;608;12.62;94
Asia;379;375;2705;496;7.14;58
Africa;366;353;8237;1154;22.51;102
Africa;355;348;5600;1068;15.77;82
Asia;343;340;2267;335;6.61;59
Europa;342;340;1683;488;4.92;50
Africa;339;334;5011;1156;14.78;78
Africa;307;300;5422;384;17.66;81
Africa;306;294;4806;516;15.71;83
Europa;304;301;2406;484;7.91;90
America;296;289;12413;991;41.94;115
Africa;279;262;6621;1104;23.73;111
Europa;275;263;5644;622;20.52;100
Asia;260;242;4413;482;16.97;80
Europa;247;245;2663;484;10.78;68
Africa;245;240;3799;520;15.51;82
Europa;210;199;1905;246;9.07;67
America;205;191;3592;395;17.52;92
America;196;184;1471;197;7.51;64
America;189;179;2041;185;10.80;67
Africa;184;171;3078;326;16.73;76
Africa;177;169;3495;530;19.75;71
Africa;176;173;2756;304;15.66;63
Europa;173;167;3279;209;18.95;92
Asia;168;165;2332;314;13.88;64
Asia;163;154;869;125;5.33;43
America;155;152;7021;694;45.30;119
Asia;153;145;1665;99;10.88;60
Asia;144;133;993;74;6.90;46
Africa;142;135;3538;475;24.92;89
Africa;137;134;2277;218;16.62;58
America;123;121;2515;241;20.45;71
Africa;116;114;2217;299;19.11;62
Europa;114;107;2647;92;23.22;70
Asia;112;111;1177;174;10.51;48
Africa;110;102;2589;261;23.54;75
Europa;104;99;829;159;7.97;49
Oceania;96;89;1670;151;17.40;59
Africa;94;92;1569;179;16.69;55
Africa;91;83;1011;123;11.11;56
Asia;87;86;1867;157;21.46;61
Africa;82;81;1362;120;16.61;59
Africa;79;77;640;14;8.10;41
Africa;76;73;2456;259;32.32;85
Europa;76;76;480;73;6.32;86
Oceania;73;68;1065;79;14.59;46
America;72;68;1533;82;21.29;55
Africa;72;70;831;101;11.54;62
Africa;70;64;1602;175;22.89;67
America;65;62;1334;87;20.52;58
Oceania;64;64;1426;162;22.28;63
Africa;63;63;661;44;10.49;45
Africa;59;59;851;79;14.42;60
Asia;55;53;789;83;14.35;44
Africa;54;48;575;29;10.65;33
Asia;52;49;750;99;14.42;57
Africa;52;51;798;81;15.35;51
Europa;49;48;697;60;14.22;40
Europa;48;46;939;197;19.56;64
Asia;46;45;730;47;15.87;42
Oceania;42;41;770;57;18.33;50
America;41;38;959;52;23.39;48
Asia;39;38;1049;147;26.90;49
America;38;36;570;36;15.00;51
Asia;37;37;533;4;14.41;41
Europa;36;34;432;38;12.00;44
Asia;35;35;105;22;3.00;24
America;34;34;473;59;13.91;46
Asia;34;32;769;45;22.62;41
Europa;33;32;699;122;21.18;40
Asia;33;33;327;56;9.91;35
America;31;31;510;15;16.45;45
America;30;29;489;22;16.30;46
Africa;28;24;564;36;20.14;36
America;28;25;524;90;18.71;29
Africa;27;26;210;12;7.78;35
America;26;26;765;55;29.42;43
Africa;25;25;280;43;11.20;28
Oceania;25;25;583;24;23.32;48
America;22;21;184;8;8.36;36
Africa;21;20;694;140;33.05;44
Africa;18;17;275;13;15.28;28
America;17;15;420;43;24.71;39
America;16;15;389;24;24.31;62
America;15;15;263;6;17.53;28
America;14;12;181;17;12.93;39
Africa;14;13;123;10;8.79;26
Africa;14;13;256;23;18.29;43
Africa;14;14;124;18;8.86;38
Africa;14;14;242;34;17.29;29
America;13;13;232;6;17.85;29
Oceania;13;13;146;12;11.23;27
America;13;13;114;4;8.77;26
Africa;12;11;267;6;22.25;37
America;12;11;163;4;13.58;27
Africa;12;11;216;6;18.00;23
Asia;12;12;180;0;15.00;67
Asia;11;11;120;13;10.91;24
America;11;11;198;7;18.00;30
Europa;10;10;260;28;26.00;40
America;10;10;141;2;14.10;34
Africa;10;9;11;0;1.10;31
Oceania;10;10;90;10;9.00;24
Africa;9;8;179;7;19.89;28
America;9;8;104;16;11.56;18
Oceania;9;9;153;18;17.00;20
Asia;9;9;138;1;15.33;18
Asia;9;8;64;9;7.11;17
Europa;8;8;189;15;23.63;18
Africa;7;7;32;5;4.57;13
Europa;7;7;6;0;0.86;23
America;7;7;344;10;49.14;23
America;7;7;66;6;9.43;25
Oceania;7;7;83;5;11.86;17
Oceania;7;7;54;2;7.71;22
America;6;5;79;0;13.17;16
Africa;6;6;25;1;4.17;23
Africa;6;6;62;2;10.33;15
Asia;5;5;30;6;6.00;20
Africa;5;5;160;1;32.00;33
Africa;5;4;17;0;3.40;15
Africa;5;5;49;8;9.80;17
Oceania;5;4;90;7;18.00;23
Oceania;4;4;68;1;17.00;19
Africa;4;4;28;2;7.00;16
Oceania;4;4;28;0;7.00;14
America;3;3;8;2;2.67;10
Africa;3;3;36;1;12.00;13
Africa;2;2;11;1;5.50;11
Europa;2;2;12;0;6.00;16
America;2;2;181;0;90.50;14
Asia;2;2;51;2;25.50;13
Africa;2;2;27;2;13.50;8
America;1;1;8;2;8.00;10
Oceania;1;1;7;0;7.00;6
America;1;1;1;0;1.00;18
Europa;1;1;77;0;77.00;8
Europa;1;1;3;0;3.00;19
America;1;1;9;0;9.00;11
Asia;1;1;36;1;36.00;10
Oceania;1;1;3;0;3.00;7
America;1;1;94;0;94.00;8
America;1;1;1;0;1.00;10
America;1;0;0;0;0.00;17
America;424615;402528;11308281;5321968;26.63;1518
Europa;109318;100440;2766983;633766;25.31;934
Asia;107994;107421;1061950;563003;9.83;436
Asia;107600;105446;1786867;499734;16.61;694
Europa;104036;100012;2241172;564486;21.54;815
Europa;73488;70608;1517108;334826;20.64;742
America;57532;54517;1424030;260950;24.75;725
Europa;54894;52416;1150674;261308;20.96;654
Europa;41014;38338;789280;190761;19.24;531
Oceania;36871;34564;868280;174461;23.55;583
Europa;36221;35933;288619;77839;7.97;355
Asia;34623;32925;418094;139008;12.08;341
Asia;31397;31073;474673;95516;15.12;375
Europa;30916;29567;890811;140983;28.81;636
Europa;22668;21620;697836;90316;30.79;629
America;22400;21884;319925;102692;14.28;342
Europa;21799;20990;583675;87487;26.78;567
Asia;21159;20785;311051;69215;14.70;300
Europa;20600;20238;234302;56305;11.37;336
Asia;18087;17267;224031;54690;12.39;237
Europa;17078;16309;420442;59054;24.62;502
Asia;13842;13261;328139;44591;23.71;456
Europa;12407;11777;285189;36942;22.99;416
Europa;11543;11070;345577;46744;29.94;476
Europa;11365;11080;261134;40677;22.98;407
Asia;10410;10011;211414;28674;20.31;325
Europa;10182;9725;174426;27775;17.13;295
Asia;9384;9110;171376;21570;18.26;308
America;9344;9151;129693;26490;13.88;261
Europa;8857;8731;115335;25750;13.02;268
Europa;8451;8005;210621;31653;24.92;362
Oceania;7157;6729;152588;22496;21.32;318
Europa;6953;6799;133694;24672;19.23;269
Europa;6929;6883;41190;11472;5.94;159
Africa;6612;6242;111808;22539;16.91;260
Europa;6479;6296;114295;17205;17.64;277
America;6332;6162;107429;21980;16.97;249
Asia;5679;5599;64543;24570;11.37;158
Europa;5537;5251;116988;12957;21.13;299
Asia;4346;4294;46484;8968;10.70;148
Asia;3854;3733;64657;9891;16.78;190
America;3497;3407;67055;11913;19.18;214
Europa;3424;3396;33644;6997;9.83;153
Europa;3163;3122;35929;6611;11.36;165
Europa;3131;3075;28373;6003;9.06;161
Europa;2605;2555;32190;6243;12.36;172
Asia;2598;2514;29184;5944;11.23;145
Europa;2470;2438;27264;4561;11.04;154
Asia;2258;2161;21877;3053;9.69;144
Asia;1967;1844;19131;5396;9.73;130
Africa;1713;1680;13348;3258;7.79;97
Europa;1606;1597;10915;2115;6.80;114
America;1579;1538;20777;2495;13.16;141
Africa;1541;1508;13562;3232;8.80;103
Africa;1399;1371;14240;2570;10.18;109
Europa;1253;1239;13821;2808;11.03;122
America;1231;1186;17255;2484;14.02;151
Africa;1148;1135;10236;1848;8.92;89
America;1081;1063;10434;2439;9.65;106
Asia;944;941;11835;1221;12.54;92
Europa;908;891;19389;3234;21.35;148
Asia;896;857;10075;933;11.24;100
Asia;896;851;13390;1286;14.94;126
Africa;862;808;18355;2900;21.29;149
Asia;801;781;12278;1763;15.33;112
Asia;763;746;10972;1019;14.38;92
Asia;715;672;8581;971;12.00;109
Asia;675;660;12181;1616;18.05;122
Asia;644;620;11950;1082;18.56;131
America;591;573;12608;1010;21.33;141
Europa;532;514;18186;1580;34.18;181
Europa;518;512;5955;1229;11.50;116
America;514;495;10585;1518;20.59;114
Asia;469;466;2915;562;6.22;58
Europa;447;438;4616;636;10.33;90
Europa;437;431;6388;690;14.62;94
Europa;436;430;1185;386;2.72;50
America;435;417;9751;1158;22.42;126
Asia;432;419;4209;508;9.74;74
Europa;427;423;6788;799;15.90;100
Asia;406;375;6584;509;16.22;96
America;393;368;7959;743;20.25;115
Europa;391;384;3827;304;9.79;67
Africa;388;378;8162;1403;21.04;102
Africa;384;378;6996;1121;18.22;78
Africa;374;352;7722;1339;20.65;111
Africa;357;353;4916;1024;13.77;82
Asia;326;323;2203;303;6.76;59
Africa;303;295;5277;587;17.42;82
Asia;303;280;4330;537;14.29;80
Africa;258;243;3898;456;15.11;83
Africa;254;241;3966;360;15.61;81
Europa;245;242;4557;366;18.60;92
Europa;224;220;2491;498;11.12;68
America;223;205;2163;417;9.70;64
America;216;205;2295;176;10.63;67
America;208;201;5157;539;24.79;92
Asia;206;201;2694;358;13.08;64
Asia;205;196;2576;182;12.57;60
America;199;187;6879;906;34.57;119
Asia;195;180;1221;103;6.26;43
Africa;191;188;2045;230;10.71;63
Africa;189;177;2593;299;13.72;76
Africa;167;162;2515;352;15.06;71
Africa;167;161;1942;320;11.63;58
Africa;161;146;3741;561;23.24;89
Asia;160;158;2219;28;13.87;67
Asia;139;139;1335;191;9.60;48
America;134;131;3881;313;28.96;71
Asia;129;120;1003;69;7.78;46
Europa;127;126;1032;108;8.13;49
Africa;124;121;1894;309;15.27;55
Africa;113;108;1225;239;10.84;62
Africa;104;103;665;33;6.39;41
Africa;101;96;2295;238;22.72;75
Oceania;96;93;826;102;8.60;46
America;95;86;1986;120;20.91;55
Europa;94;86;990;62;10.53;70
Africa;91;87;1572;156;17.27;56
Africa;89;81;2805;287;31.52;85
Africa;87;83;1979;244;22.75;67
Asia;87;83;1744;201;20.05;61
Europa;86;86;614;117;7.14;86
Europa;85;77;2236;221;26.31;64
Asia;84;79;1443;204;17.18;57
Africa;84;81;1684;218;20.05;59
Africa;84;83;968;79;11.52;45
America;79;77;1485;110;18.80;58
Asia;79;79;503;35;6.37;41
Oceania;76;70;1029;98;13.54;59
Oceania;73;69;1281;169;17.55;63
Africa;72;68;1553;166;21.57;60
Asia;70;68;1011;106;14.44;49
Asia;67;63;576;58;8.60;42
Africa;66;61;1592;154;24.12;62
Asia;65;61;571;55;8.78;44
America;59;58;463;32;7.85;36
Europa;53;51;778;35;14.68;40
Europa;52;52;824;46;15.85;44
America;52;50;781;51;15.02;48
America;49;47;835;61;17.04;46
Africa;48;45;425;45;8.85;33
Asia;46;46;947;76;20.59;41
Africa;45;44;498;38;11.07;51
America;45;45;540;46;12.00;51
Asia;45;44;183;33;4.07;24
America;44;44;823;58;18.70;46
Asia;44;43;208;22;4.73;35
Oceania;41;41;551;76;13.44;50
America;39;38;643;29;16.49;45
Oceania;38;38;1075;28;28.29;48
America;36;35;601;33;16.69;43
America;30;28;2718;85;90.60;62
Africa;30;25;445;34;14.83;43
Europa;29;29;527;120;18.17;40
America;28;24;234;9;8.36;34
America;27;26;564;25;20.89;39
Africa;26;25;257;68;9.88;28
America;26;24;250;7;9.62;28
Africa;24;22;332;30;13.83;36
Africa;22;21;607;146;27.59;44
Africa;22;21;216;3;9.82;31
Africa;21;19;320;12;15.24;28
Africa;20;20;361;8;18.05;37
America;20;17;543;39;27.15;39
America;19;19;387;71;20.37;29
Africa;18;18;132;11;7.33;35
Africa;18;18;431;12;23.94;29
Asia;17;16;467;14;27.47;24
Europa;17;17;396;20;23.29;40
Asia;16;16;111;18;6.94;20
Africa;16;16;178;13;11.13;28
Oceania;16;16;156;35;9.75;24
Africa;15;15;173;3;11.53;23
America;14;12;347;4;24.79;27
America;13;13;386;7;29.69;29
Africa;13;13;242;13;18.62;38
Africa;12;11;296;3;24.67;33
Africa;12;12;27;0;2.25;23
America;12;12;188;7;15.67;25
America;12;12;129;0;10.75;26
Africa;10;10;105;8;10.50;26
Oceania;9;9;120;8;13.33;20
Africa;9;9;114;12;12.67;17
Oceania;9;7;236;12;26.22;23
Europa;9;9;56;0;6.22;19
Oceania;8;8;74;5;9.25;22
Oceania;7;7;52;2;7.43;19
America;7;7;93;8;13.29;30
Europa;7;7;5;0;0.71;23
Oceania;7;7;168;15;24.00;27
Asia;7;7;59;25;8.43;17
Africa;6;4;60;5;10.00;16
Oceania;6;6;32;0;5.33;14
America;5;5;98;0;19.60;16
America;5;5;84;0;16.80;18
Asia;5;5;26;4;5.20;18
Oceania;5;5;69;1;13.80;17
Europa;4;4;68;0;17.00;18
Africa;4;4;82;4;20.50;15
Europa;4;3;27;4;6.75;16
America;4;3;186;1;46.50;18
America;3;2;9;0;3.00;14
Asia;3;3;44;0;14.67;13
Africa;3;3;16;2;5.33;8
Africa;3;3;56;4;18.67;15
America;3;2;9;0;3.00;17
America;2;2;0;0;0.00;10
America;2;2;37;0;18.50;10
Africa;2;2;13;6;6.50;11
America;2;2;81;9;40.50;23
Africa;2;2;32;0;16.00;13
America;2;2;43;1;21.50;11
Oceania;2;2;9;0;4.50;7
Africa;1;1;2;0;2.00;13
Oceania;1;1;0;0;0.00;2
Oceania;1;1;6;0;6.00;5
Europa;1;1;35;0;35.00;8
Oceania;1;1;36;0;36.00;1
Europa;1;1;3;0;3.00;4
America;1;1;43;0;43.00;10
America;435093;403302;9919450;4699550;22.80;1518
Asia;147527;146848;1170968;645758;7.94;436
Europa;112597;101954;2484938;575042;22.07;934
Asia;109070;106261;1520365;425422;13.94;694
Europa;108563;102578;2079413;531900;19.15;815
Europa;74579;70997;1403662;314569;18.82;742
America;61311;57077;1295000;245024;21.12;725
Europa;56026;52683;1086822;243097;19.40;654
Europa;43685;40470;755098;181619;17.29;531
Oceania;39503;36643;773037;163095;19.57;583
Asia;36611;34669;402574;135465;11.00;341
Europa;35272;34955;239923;70234;6.80;355
Asia;33644;33175;449978;95069;13.37;375
Europa;32571;30475;830544;138476;25.50;636
America;23571;22795;313972;99273;13.32;342
Asia;23333;22836;303489;69481;13.01;300
Europa;23254;21945;640162;83978;27.53;629
Europa;22177;21099;527689;78793;23.79;567
Europa;21380;20808;213904;51448;10.00;336
Asia;18748;17856;206117;49971;10.99;237
Europa;17999;17018;415775;57541;23.10;502
Asia;13268;12597;282628;39054;21.30;456
Europa;12887;12066;260894;33869;20.24;416
Europa;11647;11042;311039;42229;26.71;476
Europa;11447;11008;235511;37506;20.57;407
Europa;11124;10508;170973;27964;15.37;295
Asia;10809;10349;197329;26049;18.26;325
America;9916;9627;114582;23922;11.56;261
Asia;9732;9330;175199;20478;18.00;308
Europa;9168;8636;195196;31189;21.29;362
Europa;9146;8984;105564;24181;11.54;268
Oceania;7695;7099;143508;21221;18.65;318
Asia;7506;7348;74224;28291;9.89;158
Europa;7434;7191;119536;23654;16.08;269
Europa;6862;6640;103636;15282;15.10;277
Africa;6773;6347;104938;21200;15.49;260
Europa;6678;6629;37919;10513;5.68;159
Europa;6354;5975;114475;14631;18.02;299
America;6230;6005;93723;19477;15.04;249
Asia;4331;4186;71265;9645;16.45;190
Asia;4207;4122;43692;8395;10.39;148
Europa;4011;3944;36518;7537;9.10;153
America;3647;3538;58066;11198;15.92;214
Europa;3457;3370;29916;6279;8.65;161
Europa;3011;2959;30534;5670;10.14;165
Asia;3003;2906;27007;5648;8.99;145
Europa;2951;2887;36306;6959;12.30;172
Europa;2667;2617;24208;4235;9.08;154
Asia;2517;2375;20498;5545;8.14;130
Asia;2202;2101;18297;2437;8.31;144
Africa;1956;1911;15401;3527;7.87;97
Africa;1824;1764;18581;3998;10.19;103
America;1710;1655;17024;2393;9.96;141
Europa;1532;1517;8861;1687;5.78;114
Europa;1438;1416;14456;2929;10.05;122
America;1358;1322;19962;2624;14.70;151
Africa;1263;1223;11868;2179;9.40;109
America;1244;1210;9811;2325;7.89;106
Africa;1190;1177;8617;1929;7.24;89
Asia;1094;1045;9383;1151;8.58;100
Asia;988;968;8758;1007;8.86;92
Europa;973;944;19390;3015;19.93;148
Asia;955;911;12883;1302;13.49;126
Asia;874;844;11874;1841;13.59;112
Africa;858;801;16146;2638;18.82;149
Asia;805;738;8066;862;10.02;109
Asia;791;765;8089;989;10.23;92
Asia;767;719;11275;1148;14.70;131
Asia;756;739;12693;1602;16.79;122
America;675;659;13371;917;19.81;141
Europa;581;553;15351;1353;26.42;181
Europa;532;526;6316;1002;11.87;116
America;522;505;8301;1244;15.90;114
Europa;514;489;5782;660;11.25;100
Asia;505;462;5700;592;11.29;96
Europa;494;485;7678;702;15.54;94
America;460;441;8322;1055;18.09;126
Asia;453;435;4441;466;9.80;74
Europa;452;432;3397;489;7.52;90
Africa;430;416;4663;938;10.84;78
Africa;430;403;8282;1352;19.26;102
Asia;417;413;2009;479;4.82;58
Africa;400;369;7463;1159;18.66;111
Europa;394;390;1341;353;3.40;50
Europa;389;382;3608;297;9.28;67
America;384;371;7956;829;20.72;115
Africa;380;369;5086;959;13.38;82
Asia;361;334;3357;471;9.30;80
Africa;344;319;4971;645;14.45;82
Asia;334;333;1708;231;5.11;59
Europa;321;318;3169;596;9.87;68
Africa;297;283;4608;449;15.52;83
Asia;284;280;2947;27;10.38;67
Europa;272;250;800;262;2.94;86
Europa;264;240;5492;324;20.80;92
America;260;247;4825;682;18.56;92
America;247;226;2507;207;10.15;67
Asia;239;230;1694;180;7.09;60
Asia;236;226;2123;282;9.00;64
Africa;234;222;4131;501;17.65;81
Asia;214;201;1285;147;6.00;43
America;205;184;2034;255;9.92;64
Europa;194;191;1390;219;7.16;49
Africa;193;188;4230;293;21.92;63
America;186;175;5246;618;28.20;119
Asia;179;172;1062;100;5.93;46
Africa;169;149;2888;423;17.09;89
Africa;166;159;1567;314;9.44;58
Africa;163;151;2117;269;12.99;76
Africa;155;149;2620;439;16.90;71
Asia;137;133;1682;192;12.28;48
Europa;133;126;1986;240;14.93;70
Africa;133;120;1897;208;14.26;75
America;132;128;2079;239;15.75;71
Africa;118;111;1947;212;16.50;56
Africa;116;113;673;31;5.80;41
Africa;116;112;1711;290;14.75;62
Africa;115;110;2326;205;20.23;62
Africa;114;113;1489;242;13.06;55
America;112;107;1763;126;15.74;58
Oceania;104;97;1193;139;11.47;46
Asia;98;93;401;47;4.09;41
Africa;96;91;1852;240;19.29;67
Europa;92;85;1790;196;19.46;64
Asia;92;91;1260;143;13.70;61
Oceania;91;85;1496;242;16.44;63
Africa;87;83;2000;260;22.99;59
Asia;86;78;2272;170;26.42;57
Africa;85;78;3039;264;35.75;85
Africa;85;81;1087;90;12.79;45
Asia;83;82;458;27;5.52;35
Asia;82;81;1303;60;15.89;41
America;80;61;1165;33;14.56;55
Africa;72;69;1342;111;18.64;60
Europa;64;63;1042;93;16.28;44
Asia;62;60;543;65;8.76;42
Asia;61;57;1239;137;20.31;49
Oceania;61;59;1138;87;18.66;59
Africa;57;55;634;83;11.12;51
Asia;55;48;483;39;8.78;44
Europa;51;47;527;69;10.33;40
America;49;47;862;54;17.59;46
America;48;48;1039;82;21.65;51
America;45;45;979;61;21.76;48
Asia;45;44;201;56;4.47;24
Africa;44;39;393;27;8.93;33
America;43;43;546;74;12.70;46
Oceania;42;41;768;87;18.29;50
America;41;41;338;15;8.24;43
America;40;34;643;24;16.08;45
America;40;39;465;26;11.63;36
Europa;39;38;579;66;14.85;40
America;36;29;133;6;3.69;28
Africa;34;33;239;8;7.03;28
Oceania;32;31;306;38;9.56;48
Africa;32;30;292;44;9.13;35
America;31;30;418;16;13.48;34
America;30;29;458;29;15.27;62
Africa;28;27;315;30;11.25;28
Africa;27;27;240;19;8.89;28
America;27;23;420;41;15.56;39
Europa;26;25;783;78;30.12;40
America;25;24;376;15;15.04;39
America;25;24;271;37;10.84;29
Africa;25;25;249;6;9.96;31
Africa;25;20;248;28;9.92;43
Africa;24;21;454;76;18.92;44
Africa;23;22;822;50;35.74;29
Oceania;23;20;198;25;8.61;24
Asia;21;16;252;53;12.00;24
Africa;21;20;322;23;15.33;36
Europa;20;18;40;15;2.00;23
America;19;17;303;9;15.95;27
America;17;17;267;20;15.71;29
Africa;17;16;147;8;8.65;23
Asia;16;15;170;8;10.63;20
Africa;16;16;306;11;19.13;37
America;14;13;86;22;6.14;30
Africa;14;13;129;6;9.21;33
Oceania;14;14;55;3;3.93;20
Africa;14;14;131;16;9.36;23
America;14;14;219;12;15.64;26
America;13;12;117;9;9.00;25
Africa;13;13;250;16;19.23;38
Europa;12;12;241;0;20.08;19
Asia;11;11;127;17;11.55;13
Oceania;11;10;103;5;9.36;22
Europa;10;9;137;7;13.70;18
America;10;10;145;17;14.50;18
Oceania;10;9;254;8;25.40;27
Asia;10;10;79;13;7.90;17
Oceania;9;9;131;15;14.56;23
Africa;8;8;76;6;9.50;26
America;7;7;42;6;6.00;16
Asia;7;7;24;2;3.43;18
America;6;5;71;1;11.83;10
Africa;5;5;38;10;7.60;15
Africa;5;5;67;0;13.40;17
America;5;4;62;2;12.40;18
America;5;5;22;0;4.40;14
America;5;5;82;10;16.40;23
Oceania;4;4;22;1;5.50;19
Africa;4;4;22;3;5.50;11
Africa;4;2;32;1;8.00;16
Africa;4;4;4;0;1.00;8
America;3;3;25;0;8.33;10
Europa;3;3;41;6;13.67;16
Oceania;3;3;20;4;6.67;17
Africa;2;2;11;0;5.50;13
Oceania;2;2;8;0;4.00;14
Oceania;2;2;0;0;0.00;5
Asia;2;2;7;0;3.50;10
America;2;1;6;0;3.00;17
Oceania;1;1;2;0;2.00;10
Oceania;1;1;0;0;0.00;2
Africa;1;1;12;0;12.00;3
Europa;1;1;20;0;20.00;8
Africa;1;1;8;1;8.00;15
America;1;1;59;0;59.00;11
Oceania;1;1;5;1;5.00;7
Oceania;1;1;3;0;3.00;3
America;489617;448382;9820536;4698360;20.06;1518
Asia;187722;186612;1382039;770180;7.36;436
Europa;131418;117165;2514937;605472;19.14;934
Europa;121866;113627;2077894;549274;17.05;815
Asia;120490;117263;1508169;427421;12.52;694
Europa;85879;81143;1406328;327925;16.38;742
America;69838;65019;1339296;259749;19.18;725
Europa;65847;61439;1094029;256160;16.61;654
Europa;52036;48470;809837;201221;15.56;531
Oceania;46751;43034;837335;182716;17.91;583
Asia;45979;43596;459967;157306;10.00;341
Asia;42229;41535;473509;104214;11.21;375
Europa;37376;34614;848949;143503;22.71;636
Europa;34334;33877;228759;67518;6.66;355
America;33127;31924;351159;128242;10.60;342
Asia;28501;27861;328004;77809;11.51;300
Europa;27246;25397;648401;90798;23.80;629
Europa;25071;24491;230607;55636;9.20;336
Europa;24802;23547;523202;82575;21.10;567
Asia;22681;21531;219377;54117;9.67;237
Europa;20334;18939;410018;60940;20.16;502
Asia;15158;14404;284122;39972;18.74;456
Europa;14526;13503;258589;35843;17.80;416
Europa;14096;13230;197805;31324;14.03;295
Europa;13458;12626;318102;45762;23.64;476
Europa;13164;12592;237357;37747;18.03;407
Asia;12859;12196;198282;27380;15.42;325
